                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7061,                 3.0496,                 1.3381,                 0.3968,                0.44404,                0.33335,                0.16595,                 1.5337,                 3.4133,                 1.2012,              0.0033058,              0.0033058,              0.0033058
                      2,                  1.611,                  2.521,                 1.2825,                0.36097,                0.48014,                0.32517,                0.16294,                 1.4389,                 3.1386,                 1.2023,              0.0066325,              0.0066325,              0.0066325
                      3,                 1.7276,                 2.4577,                 1.3559,                0.38221,                0.48375,                0.29905,                 0.1366,                 1.5997,                 3.0232,                 1.3134,              0.0099527,              0.0099527,              0.0099527
                      4,                 1.7591,                 2.3763,                   1.41,                0.30656,                0.34296,                0.24104,                 0.1112,                 1.6744,                 2.9413,                   1.31,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.8124,                  2.337,                 1.4345,                0.36495,                0.40433,                0.27744,                0.13032,                 1.6495,                 3.4905,                 1.3623,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.7524,                 2.2204,                 1.4014,                0.35839,                0.45848,                 0.3008,                0.13848,                 1.6991,                 2.6448,                 1.3274,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.7332,                 2.1786,                 1.3995,                0.20388,                0.36462,                 0.1904,                0.09385,                 1.6961,                 2.8029,                 1.3441,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.7112,                 2.1718,                 1.3848,                0.35735,                0.47292,                0.30375,                0.14243,                 1.7251,                 2.8722,                 1.3684,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.7099,                 2.0793,                 1.3661,                 0.3535,                0.45487,                0.32394,                0.17079,                 1.6531,                 2.5915,                 1.3258,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.6583,                 2.0575,                  1.346,                0.32406,                0.49673,                0.30557,                 0.1483,                 1.6676,                 2.4255,                 1.3126,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.6264,                 2.0126,                 1.3415,                0.28429,                0.41877,                0.24474,                0.11773,                 1.5679,                  2.487,                 1.3119,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.6146,                 2.0472,                 1.3407,                0.37222,                0.48374,                 0.3251,                0.15996,                 1.5899,                 2.3085,                 1.2946,               0.009901,               0.009901,               0.009901
                     13,                 1.6265,                 2.0197,                 1.3351,                0.36749,                0.58845,                0.34133,                0.15652,                 1.6312,                 2.2881,                 1.3353,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.6062,                 1.9956,                 1.3191,                0.37173,                0.52708,                0.36125,                0.18198,                 1.5634,                 2.3126,                 1.2966,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.6009,                 1.9684,                 1.3183,                0.39967,                0.58484,                0.39776,                0.19109,                 1.4894,                 2.2542,                 1.2213,              0.0098713,              0.0098713,              0.0098713
                     16,                  1.604,                 1.9539,                 1.3156,                0.37427,                0.55235,                 0.3581,                0.18661,                 1.5576,                 2.1578,                   1.29,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.5769,                 1.9598,                 1.3029,                0.32281,                0.42599,                0.29666,                0.15691,                 1.5411,                 2.4631,                 1.2534,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.5591,                 1.9468,                 1.3086,                0.33781,                0.48621,                0.29343,                0.15181,                 1.5134,                 2.4319,                 1.2683,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.5399,                 1.9071,                 1.2891,                0.40739,                0.55596,                0.36815,                0.18947,                 1.5388,                 2.1835,                 1.2932,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.5475,                  1.949,                 1.2934,                0.36506,                0.54152,                0.35895,                0.18135,                  1.538,                 2.5356,                 1.2392,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.5402,                 1.9298,                 1.2801,                0.38528,                0.49097,                0.33757,                0.17689,                 1.5368,                 2.2216,                  1.265,              0.0098119,              0.0098119,              0.0098119
                     22,                  1.527,                 1.8878,                 1.2879,                0.40003,                0.58731,                0.35924,                0.18369,                 1.4937,                 2.5824,                   1.21,               0.009802,               0.009802,               0.009802
                     23,                 1.5064,                 1.8064,                  1.262,                0.35048,                0.55713,                0.32557,                0.17222,                 1.4439,                 2.2623,                 1.2076,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.4901,                 1.8135,                 1.2612,                0.38173,                0.54874,                0.35164,                0.19415,                 1.4532,                 2.2296,                 1.2117,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.4888,                 1.8096,                 1.2507,                0.38891,                0.53791,                0.34197,                0.18781,                 1.4845,                 2.2475,                 1.1861,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.4538,                 1.7814,                 1.2312,                 0.3988,                0.62455,                0.37631,                0.20745,                 1.5243,                 2.1146,                 1.2808,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.4831,                 1.7683,                 1.2333,                0.36905,                0.57762,                0.34449,                0.18637,                 1.4442,                 2.3776,                 1.2054,              0.0097525,              0.0097525,              0.0097525
                     28,                  1.455,                 1.7494,                  1.231,                0.42136,                0.59149,                0.37516,                0.20131,                 1.4113,                 2.2424,                 1.2331,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.4559,                  1.768,                 1.2354,                0.37408,                0.58484,                0.34226,                0.18484,                  1.471,                 2.2132,                 1.1989,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.4342,                 1.7566,                 1.2304,                0.39989,                0.57253,                0.37314,                0.20078,                  1.498,                 2.1384,                 1.2647,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.4205,                 1.6963,                 1.2239,                0.41427,                0.65704,                0.39613,                0.21702,                 1.3534,                 2.1696,                 1.1676,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.4521,                  1.751,                 1.2285,                0.40585,                 0.6065,                0.36887,                0.20549,                 1.3582,                 2.2256,                 1.1494,               0.009703,               0.009703,               0.009703
                     33,                 1.4412,                 1.7475,                 1.2125,                0.40855,                0.61733,                 0.3827,                0.21433,                 1.3634,                 2.4709,                 1.1561,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.3813,                 1.6879,                 1.1941,                0.38288,                 0.6025,                0.35188,                 0.1895,                 1.4197,                 2.2669,                 1.1708,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.3991,                 1.7052,                 1.2023,                0.40901,                0.69314,                0.39055,                0.21504,                 1.4033,                  2.213,                   1.17,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.3906,                 1.6691,                 1.1966,                0.39108,                0.57401,                0.33918,                0.18692,                 1.4486,                 2.1603,                 1.2164,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4054,                 1.6864,                 1.2045,                0.43542,                0.66426,                0.40589,                0.21834,                 1.4194,                 2.2957,                 1.1921,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.3929,                   1.68,                 1.1913,                0.37421,                0.64546,                0.33239,                0.17182,                 1.4281,                 2.6377,                 1.1903,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.3839,                  1.699,                 1.1859,                0.40057,                0.61733,                0.37168,                0.20491,                 1.3893,                 2.3694,                 1.1492,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.3651,                 1.6918,                 1.1787,                0.42914,                0.63177,                0.39578,                0.21361,                 1.4282,                 2.1825,                 1.2072,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.3662,                  1.639,                 1.1804,                0.37753,                0.62455,                0.37421,                0.19834,                 1.4773,                 2.2465,                 1.2129,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.3453,                 1.6564,                 1.1786,                0.39679,                0.61742,                0.36962,                0.19962,                 1.4204,                 2.2565,                 1.1836,               0.009604,               0.009604,               0.009604
                     43,                 1.3483,                 1.5753,                 1.1721,                0.40904,                 0.6397,                0.40073,                 0.2238,                 1.4044,                 2.1835,                  1.172,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.3475,                 1.5994,                 1.1772,                0.39668,                0.60289,                0.36954,                0.20562,                 1.3988,                 2.0327,                 1.1795,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.3339,                 1.6096,                 1.1549,                0.40933,                0.63796,                0.40717,                0.21241,                 1.4265,                 2.3041,                 1.2329,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3301,                 1.5775,                 1.1613,                0.40888,                0.57684,                0.37573,                0.20099,                 1.4898,                 2.0955,                 1.2475,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.3148,                 1.5757,                 1.1562,                0.39989,                0.59928,                0.38264,                0.21669,                 1.3601,                 2.1633,                 1.1622,              0.0095545,              0.0095545,              0.0095545
                     48,                  1.317,                 1.5714,                 1.1536,                0.44308,                0.61011,                0.42593,                0.22585,                 1.4186,                  2.141,                 1.2219,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.3188,                 1.5883,                 1.1483,                  0.408,                0.60708,                0.39717,                0.23267,                 1.3813,                 2.0776,                 1.2198,              0.0095347,              0.0095347,              0.0095347
